stimulustype,stimuluscondition,practice,pair,image1,image2,image3,image4,audio,verb,list
Filler,NA,1,36,finger.jpg,paw.jpg,shoulder.jpg,fountain.jpg,Sarah_engels_Mary_bandages_a_finger_0.wav,bandages,ListA
Experimental,Constraining,1,5,potato.jpg,coat.jpg,flower.jpg,dog.jpg,Sarah_engels_Mary_boils_a_potato_0.wav,boils,ListA
Experimental,Neutral,1,12,fence.jpg,pencil.jpg,necklace.jpg,mirror.jpg,Sarah_engels_Mary_breaks_a_fence_0.wav,breaks,ListA
Filler,NA,1,29,fishtank.jpg,needle2.jpg,cactus.jpg,volcano.jpg,Sarah_engels_Mary_disinfects_a_fishtank_0.wav,disinfects,ListA
Experimental,Neutral,1,17,lock.jpg,carrot.jpg,wig.jpg,raft.jpg,Sarah_engels_Mary_draws_a_lock_0.wav,draws,ListA
Filler,NA,1,24,doll.jpg,baby.jpg,girl.jpg,rock.jpg,Sarah_engels_Mary_dresses_a_doll_0.wav,dresses,ListA
Filler,NA,1,27,piano.jpg,lamp.jpg,chair1.jpg,hippo.jpg,Sarah_engels_Mary_dusts_a_piano_0.wav,dusts,ListA
Filler,NA,1,19,pizza.jpg,pineapple.jpg,saddle.jpg,bathtub.jpg,Sarah_engels_Mary_eats_a_pizza_0.wav,eats,ListA
Experimental,Constraining,1,13,mailbox.jpg,window.jpg,roof.jpg,chair.jpg,Sarah_engels_Mary_empties_a_mailbox_0.wav,empties,ListA
Experimental,Constraining,1,18,bucket.jpg,scarf.jpg,key.jpg,whistle.jpg,Sarah_engels_Mary_fills_a_bucket_0.wav,fills,ListA
Experimental,Neutral,1,4,wall.jpg,lock.jpg,heel.jpg,shower1.jpg,Sarah_engels_Mary_fixes_a_wall_0.wav,fixes,ListA
Filler,NA,1,33,dentist.jpg,cook.jpg,priest2.jpg,tail.jpg,Sarah_engels_Mary_greases_a_hinge_0.wav,greases,ListA
Filler,NA,1,30,towel.jpg,tie.jpg,shirt.jpg,nest.jpg,Sarah_engels_Mary_introduces_a_doctor_0.wav,introduces,ListA
Experimental,Constraining,1,14,skirt.jpg,wall.jpg,bicycle.jpg,kite.jpg,Sarah_engels_Mary_irons_a_skirt_0.wav,irons,ListA
Filler,NA,1,35,cow.jpg,goat.jpg,turtle.jpg,rainbow.jpg,Sarah_engels_Mary_keeps_a_cow_0.wav,keeps,ListA
Filler,NA,1,34,snake.jpg,shark.jpg,rug.jpg,refrigerator.jpg,Sarah_engels_Mary_kills_a_snake_0.wav,kills,ListA
Experimental,Constraining,1,10,scarf.jpg,cheese.jpg,comb.jpg,barrel.jpg,Sarah_engels_Mary_knits_a_scarf_0.wav,knits,ListA
Filler,NA,1,32,cannon.jpg,gun2.jpg,trophy.jpg,city.jpg,Sarah_engels_Mary_loads_a_cannon_0.wav,loads,ListA
Filler,NA,1,23,cake.jpg,bread.jpg,lion.jpg,picture.jpg,Sarah_engels_Mary_makes_a_cake_0.wav,makes,ListA
Experimental,Neutral,1,11,pencil.jpg,church.jpg,rope.jpg,tree.jpg,Sarah_engels_Mary_measures_a_pencil_0.wav,measures,ListA
Filler,NA,1,22,house.jpg,castle1.jpg,seal.jpg,watermelon.jpg,Sarah_engels_Mary_pastes_a_photo_0.wav,pastes,ListA
Experimental,Neutral,1,6,church.jpg,skirt.jpg,sausage.jpg,belt.jpg,Sarah_engels_Mary_prefers_a_church_0.wav,prefers,ListA
Experimental,Constraining,1,2,letter.jpg,car.jpg,backpack.jpg,wheelchair.jpg,Sarah_engels_Mary_reads_a_letter_0.wav,reads,ListA
Experimental,Neutral,1,7,window.jpg,horse.jpg,needle.jpg,spoon.jpg,Sarah_engels_Mary_reveals_a_window_0.wav,reveals,ListA
Filler,NA,1,26,cigar.jpg,cigarette.jpg,pipe.jpg,cage.jpg,Sarah_engels_Mary_rolls_a_cigar_0.wav,rolls,ListA
Experimental,Neutral,1,9,dress.jpg,bucket.jpg,candle.jpg,chest1.jpg,Sarah_engels_Mary_saves_a_dress_0.wav,saves,ListA
Filler,NA,1,21,cat.jpg,rabbit.jpg,donkey.jpg,corkscrew.jpg,Sarah_engels_Mary_sews_a_jacket_0.wav,sews,ListA
Experimental,Neutral,1,1,cheese.jpg,mailbox.jpg,desk.jpg,bottle2.jpg,Sarah_engels_Mary_shares_a_cheese_0.wav,shares,ListA
Filler,NA,1,28,lemon.jpg,tomato.jpg,file.jpg,magnet.jpg,Sarah_engels_Mary_squeezes_a_lemon_0.wav,squeezes,ListA
Filler,NA,1,31,beard.jpg,sheep.jpg,toothbrush.jpg,umbrella.jpg,Sarah_engels_Mary_swallows_a_pill_0.wav,swallows,ListA
Experimental,Neutral,1,15,car.jpg,potato.jpg,knife.jpg,shovel.jpg,Sarah_engels_Mary_takes_a_car_0.wav,takes,ListA
Experimental,Constraining,1,3,carrot.jpg,dress.jpg,napkin.jpg,ruler.jpg,Sarah_engels_Mary_tastes_a_carrot_0.wav,tastes,ListA
Filler,NA,1,25,stamp.jpg,leaf.jpg,table.jpg,train.jpg,Sarah_engels_Mary_tears_a_stamp_0.wav,tears,ListA
Experimental,Constraining,1,8,horse.jpg,letter.jpg,plate.jpg,sword.jpg,Sarah_engels_Mary_trains_a_horse_0.wav,trains,ListA
Experimental,Constraining,1,16,coat.jpg,fence.jpg,mountain.jpg,bridge.jpg,Sarah_engels_Mary_wears_a_coat_0.wav,wears,ListA
Filler,NA,1,20,present1.jpg,icecreamcone.jpg,sweater.jpg,cloud.jpg,Sarah_engels_Mary_wraps_a_present_0.wav,wraps,ListA
